Date,Open,High,Low,Close,Adj Close,Volume
2020-12-08,81.580002,85.690002,81.019997,85.449997,84.604233,556600
2020-12-09,85.400002,87.389999,83.800003,84.349998,83.515129,669700
2020-12-10,84.510002,85.440002,83.300003,84.230003,83.396317,304600
2020-12-11,83.739998,85.610001,83.169998,84.830002,83.990372,245300
2020-12-14,84.709999,85.949997,84.430000,85.639999,84.792358,336000
2020-12-15,86.620003,87.570000,85.680000,87.339996,86.475525,560700
2020-12-16,87.449997,89.709999,87.129997,87.320000,86.455727,505100
2020-12-17,87.489998,89.519997,86.370003,89.449997,88.564644,886400
2020-12-18,89.709999,91.180000,89.019997,90.470001,89.574562,997400
2020-12-21,89.250000,89.930000,86.209999,87.150002,86.287415,586000
2020-12-22,87.629997,88.470001,85.120003,86.550003,85.693352,344900
2020-12-23,86.400002,87.440002,85.790001,87.260002,86.396324,267600
2020-12-24,87.489998,88.199997,86.690002,87.540001,86.673561,145500
2020-12-28,87.930000,89.910004,86.959999,89.199997,88.317123,342100
2020-12-29,88.599998,88.949997,84.989998,85.519997,84.673553,361000
2020-12-30,85.910004,86.330002,84.449997,84.519997,83.683441,234700
2020-12-31,84.519997,85.470001,83.339996,84.849998,84.010178,305900
2021-01-04,85.239998,85.910004,83.220001,85.339996,84.495323,589200
2021-01-05,85.480003,90.550003,85.070000,90.180000,89.287430,723800
2021-01-06,89.730003,94.690002,89.139999,93.400002,92.475555,757200
2021-01-07,94.529999,95.500000,93.050003,93.720001,92.792389,426900
2021-01-08,94.000000,94.389999,92.480003,93.470001,92.544861,409800
2021-01-11,93.239998,94.419998,92.760002,93.330002,92.406250,309100
2021-01-12,93.360001,94.750000,92.559998,94.139999,93.208229,355300
2021-01-13,93.629997,95.000000,92.930000,93.760002,92.831993,278000
2021-01-14,94.730003,96.290001,93.120003,93.849998,92.921097,364300
2021-01-15,93.489998,95.849998,92.750000,95.199997,94.257736,344900
2021-01-19,95.150002,98.000000,94.419998,97.360001,96.396362,439100
2021-01-20,96.690002,98.690002,96.550003,98.080002,97.109238,389700
2021-01-21,97.949997,98.779999,95.570000,96.220001,95.267647,271900
2021-01-22,96.910004,98.980003,95.019997,98.820000,97.841911,391400
2021-01-25,98.680000,99.720001,96.050003,97.440002,96.475571,368600
2021-01-26,97.570000,103.040001,96.949997,102.040001,101.030045,474500
2021-01-27,101.440002,107.930000,100.550003,107.230003,106.168678,1385100
2021-01-28,106.580002,108.360001,100.120003,104.589996,103.554802,787200
2021-01-29,104.589996,107.339996,102.099998,102.279999,101.267662,496400
2021-02-01,102.639999,103.279999,99.809998,101.639999,100.633987,418600
2021-02-02,102.160004,103.480003,100.510002,101.389999,100.386475,340600
2021-02-03,101.639999,101.750000,98.629997,99.860001,98.871620,485900
2021-02-04,99.709999,101.239998,97.779999,100.500000,99.505280,392700
2021-02-05,100.730003,102.410004,99.709999,101.800003,101.018578,431700
2021-02-08,101.419998,102.010002,98.370003,100.260002,99.490395,609600
2021-02-09,100.199997,105.300003,100.129997,104.669998,103.866539,320300
2021-02-10,105.559998,109.139999,105.000000,108.330002,107.498451,456400
2021-02-11,108.639999,109.320000,106.430000,109.129997,108.292305,427500
2021-02-12,109.489998,110.330002,107.500000,109.139999,108.302223,263100
2021-02-16,110.110001,110.110001,102.260002,102.540001,101.752892,522000
2021-02-17,101.959999,102.970001,99.800003,100.400002,99.629326,362600
2021-02-18,100.029999,102.750000,99.540001,101.660004,100.879654,512900
2021-02-19,102.230003,104.239998,102.120003,103.680000,102.884140,270700
2021-02-22,105.000000,105.550003,101.610001,103.660004,102.864304,572100
2021-02-23,103.300003,103.300003,98.839996,101.900002,101.117813,479300
2021-02-24,102.160004,103.680000,100.000000,102.639999,101.852127,416500
2021-02-25,93.000000,95.000000,85.500000,90.750000,90.053391,2685800
2021-02-26,90.000000,93.750000,88.449997,90.190002,89.497704,839500
2021-03-01,91.529999,95.949997,90.699997,93.790001,93.070061,924600
2021-03-02,93.400002,94.000000,89.949997,90.239998,89.547310,641000
2021-03-03,90.510002,91.040001,85.050003,85.839996,85.181076,868300
